1075517,L' U' L D R U R2 U F' U R' U F R F D'
1870129,R2 B R B2 U' B U B2 R' B' R2 U R' U'
2173159,R' B' L' F U2 L2 D' B' R B' L F' B' U L2 D2
354979,U2 L2 D R2 F D2 L2 B' L' D' B2 D B' L' D F' L2
1264069,R U L' B U' B2 U' R' B L F2 R U2 R2 U' R U2
658009,R2 B' R2 B2 D2 R2 B R' B' U' B2 U2 R' U' D2 B'
961039,U R U R2 U2 R U2 B2 L2 F D' L D B' L U' B'
1567099,U L F2 L' U D B2 L' B D' R2 B' D B' L B' D'
51949,F D B' R2 D2 B' L2 D2 B2 R F' U2 R U' R D'
1600769,R F R2 F2 L' U L F U' R2 F' U F U
1903799,R F B2 R' D R B2 R' B' D' F' B U' R' U
85619,D B U B' R2 U' R' U D' F B U' F U F' B'
994709,L D' L2 B' L D2 R F2 R2 F2 D R' D2 R U' R' F'
388649,F2 U' D B' D2 F2 D2 R2 D B' D' B2 U' R D'
691679,F D R' U' R2 D' L' D' B2 L U B L U2 D L'
1297739,U R2 B' R2 B U2 B U' R' L2 F' R2 L2 U2 R' B'
2206829,U2 F L' U2 F2 L' D2 B R' U D L2 D2 R D'
1062049,U' R U2 R' U' L2 D2 B R' U R2 U' R' D2 L2 F
1365079,U R F' U' F R B' R2 B2 U' B' R2 U2 R U' R
1971139,U' R' U R' B L' U L' F2 L U' B L' D F' L2 B2
455989,F' U2 F U F2 L2 D2 R' L U' L' B' R' B2 R D2 L2
2274169,F R' F' L F' B' R' B U F R U2 D R' U D' L'
152959,R' F' L' U' L' D2 B' D F D F' L' F' R F R' L'
759019,U' B2 L2 F D2 L2 B2 R' U2 R U R U R U R'
1668109,L2 F' L' U D' L2 U2 L' U' D' B U R' U2 R2 D2 F2
2408849,D B' D' R' F R2 D2 B2 U' B U B2 D2 R F' R
287639,R B U' B' R U R2 B' R2 B R' F' U F U' R2
893699,L2 D R2 D2 B' D' B U' B U R U' B' U D2 L2
1802789,D R U' D' L2 D2 R' B D2 R' L' F2 R F L' F2
1196729,B' U F U' B D R2 D2 F U2 F' U2 D F D R' D'
1499759,D F2 U2 F' R U2 F' R F' R U' R U' D' F' U'
2105819,U2 D R' F' U2 F U B' R2 B2 U' B' R2 U2 D'
590669,U F2 R F U2 F U R2 U' F' R' U2 F R' F2 R'
900433,R U2 R' U R2 U' F' U' F U2 R2 U2 F' U F
1203463,U F R' F' R' D L' B L D' L' U R2 U' R2 L
1809523,R2 U D R B R' F R2 F' B' R' U' R D'
294373,R U R' D B U2 R2 B U B2 U' D2 L' F L D
2112553,U2 F2 L F' D F R2 F2 U' R2 U D' F' L' F'
2415583,U F D' L2 U2 L D2 B L B2 D2 R L2 F' L' D
597403,D2 R B R2 B' U2 D' R' F' R2 F D' R U2 R'
1506493,U R' F R' U2 F2 R U F' D' F' U D R2 F'
631073,U R U F R' F' U' R' U R U' R' U'
934103,D2 F B' R' U2 R' U2 L2 F2 B U2 F R U R
1540163,F R U F R2 F2 U' D' F D F U F R' U'
25013,D F R' F' R U F R' F' U R U R' U2 R' D'
1843193,F' R B U' F R U2 R' B' R F R F2 R' F
2146223,D R U D B' U2 B2 U R' U R B D2 L F L'
328043,U2 L U F U' L D2 R B R B2 D B D L2
1237133,D' L D2 R2 B' D' F' D' L' D F' R' F2 U
92353,U R B' R' F' B R' U' R U2 B' U F U' B
395383,U2 F D R' D' F' L' B' U R U' B' R' B2 L U
1001443,B L2 F L U2 L F' U2 L F2 L' F2 U B' U
1910533,U2 F2 D' B L F2 B' U2 F2 D F' U R2 F U' F'
1304473,F R' F' R U' L F' R U F2 U' R L' U2 F R2 F'
1607503,R U' R' L2 D R2 D B R' D2 L2 F B R U2 R' B'
2213563,U' F' D R U' R' U2 R2 U2 D' F U' F' U2
698413,U2 R U R F2 R2 F U2 F2 B' R F2 B R2 F2 R'
1439153,U R' B' R' B U D' L' F2 L D2 R' D' R2 U2
1742183,U2 F' L' U' L' D2 R B' R' B D2 L2 U2 F
2348243,R' B' R' D' L F' R F L' D2 F R2 F' D' B
833093,F U F L F D F2 R' F R' F' R' D' F L' U'
